Time - Voltage	Amplitude - Voltage
25.5788	0.203783
25.578804	0.204112
25.578808	0.203947
25.578812	0.203783
25.578816	0.203947
25.57882	0.204112
25.578824	0.20477
25.578828	0.204605
25.578832	0.205756
25.578836	0.205592
25.57884	0.205099
25.578844	0.205099
25.578848	0.202961
25.578852	0.205099
25.578856	0.20477
25.57886	0.204441
25.578864	0.204441
25.578868	0.204605
25.578872	0.20477
25.578876	0.205099
25.57888	0.207401
25.578884	0.204441
25.578888	0.204112
25.578892	0.204112
25.578896	0.204112
25.5789	0.203783
25.578904	0.203783
25.578908	0.204276
25.578912	0.204441
25.578916	0.204605
25.57892	0.205756
25.578924	0.205592
25.578928	0.205263
25.578932	0.205263
25.578936	0.20477
25.57894	0.204441
25.578944	0.203289
25.578948	0.204112
25.578952	0.204441
25.578956	0.204934
25.57896	0.20477
25.578964	0.207401
25.578968	0.204605
25.578972	0.20477
25.578976	0.204441
25.57898	0.204441
25.578984	0.204276
25.578988	0.203125
25.578992	0.205592
25.578996	0.20477
25.579	0.205099
25.579004	0.205263
25.579008	0.205428
25.579012	0.205099
25.579016	0.203454
25.57902	0.204934
25.579024	0.20477
25.579028	0.203947
25.579032	0.203783
25.579036	0.203783
25.57904	0.203947
25.579044	0.204112
25.579048	0.204441
25.579052	0.204276
25.579056	0.205428
25.57906	0.205099
25.579064	0.205263
25.579068	0.205263
25.579072	0.207401
25.579076	0.204441
25.57908	0.204112
25.579084	0.204112
25.579088	0.204112
25.579092	0.203783
25.579096	0.203947
25.5791	0.205756
25.579104	0.204934
25.579108	0.205428
25.579112	0.205592
25.579116	0.205592
25.57912	0.205263
25.579124	0.202796
25.579128	0.205263
25.579132	0.20477
25.579136	0.203783
25.57914	0.203947
25.579144	0.204276
25.579148	0.204605
25.579152	0.204112
25.579156	0.204441
25.57916	0.203947
25.579164	0.205428
25.579168	0.205263
25.579172	0.205263
25.579176	0.205263
25.57918	0.206743
25.579184	0.204605
25.579188	0.205099
25.579192	0.20477
25.579196	0.20477
25.5792	0.204605
25.579204	0.204441
25.579208	0.204441
25.579212	0.204441
25.579216	0.205592
25.57922	0.205099
25.579224	0.204934
25.579228	0.202961
25.579232	0.205592
25.579236	0.204934
25.57924	0.204112
25.579244	0.204441
25.579248	0.20477
25.579252	0.203783
25.579256	0.205921
25.57926	0.204605
25.579264	0.205428
25.579268	0.205428
25.579272	0.205428
25.579276	0.205263
25.57928	0.20625
25.579284	0.20477
25.579288	0.205756
25.579292	0.205428
25.579296	0.205428
25.5793	0.204934
25.579304	0.204441
25.579308	0.204605
25.579312	0.203289
25.579316	0.204605
25.57932	0.204605
25.579324	0.20477
25.579328	0.205099
25.579332	0.207237
25.579336	0.20477
25.57934	0.203454
25.579344	0.203783
25.579348	0.204112
25.579352	0.204112
25.579356	0.203947
25.57936	0.204441
25.579364	0.204605
25.579368	0.204112
25.579372	0.204934
25.579376	0.205099
25.57938	0.205099
25.579384	0.202138
25.579388	0.205428
25.579392	0.20477
25.579396	0.204112
25.5794	0.204441
25.579404	0.204605
25.579408	0.204605
25.579412	0.207401
25.579416	0.204441
25.57942	0.203783
25.579424	0.204112
25.579428	0.203947
25.579432	0.203947
25.579436	0.203783
25.57944	0.204605
25.579444	0.204934
25.579448	0.204605
25.579452	0.204112
25.579456	0.204441
25.57946	0.203947
25.579464	0.203947
25.579468	0.204605
25.579472	0.205099
25.579476	0.205592
25.57948	0.205099
25.579484	0.205099
25.579488	0.20477
25.579492	0.204441
25.579496	0.206414
25.5795	0.204441
25.579504	0.205428
25.579508	0.205921
25.579512	0.205756
25.579516	0.205756
25.57952	0.205099
25.579524	0.204112
25.579528	0.205428
25.579532	0.204441
25.579536	0.20625
25.57954	0.205756
25.579544	0.205756
25.579548	0.205428
25.579552	0.202138
25.579556	0.206579
25.57956	0.203783
25.579564	0.203947
25.579568	0.204441
25.579572	0.20477
25.579576	0.20477
25.57958	0.00231665
25.579584	0.00412573
25.579588	0.00182326
25.579592	0.00346788
25.579596	0.00379681
25.5796	0.00313896
25.579604	0.00281004
25.579608	1.42E-05
25.579612	0.00445466
25.579616	0.00149434
25.57962	0.00215219
25.579624	0.00264557
25.579628	0.00264557
25.579632	0.00281004
25.579636	0.000507564
25.57964	0.00461912
25.579644	0.00116541
25.579648	0.00132988
25.579652	0.00149434
25.579656	0.00182326
25.57966	0.00198772
25.579664	-0.000314747
25.579668	0.00461912
25.579672	0.00132988
25.579676	0.00215219
25.57968	0.00264557
25.579684	0.0029745
25.579688	0.0029745
25.579692	0.00281004
25.579696	0.000507564
25.5797	0.00445466
25.579704	0.000672026
25.579708	0.00363235
25.579712	0.00264557
25.579716	0.00330342
25.57972	0.00313896
25.579724	0.000672026
25.579728	0.00478358
25.579732	0.00132988
25.579736	0.00264557
25.57974	0.00313896
25.579744	0.0029745
25.579748	0.0029745
25.579752	0.0029745
25.579756	0.00412573
25.57976	0.00330342
25.579764	0.000343102
25.579768	0.00198772
25.579772	0.00132988
25.579776	0.00198772
25.57978	0.0016588
25.579784	0.000507564
25.579788	0.00511251
25.579792	0.00116541
25.579796	0.00363235
25.5798	0.00248111
25.579804	0.00248111
25.579808	0.00215219
25.579812	0.00182326
25.579816	0.0042902
25.57982	0.0016588
25.579824	0.0029745
25.579828	0.00363235
25.579832	0.00330342
25.579836	0.00313896
25.57984	0.00281004
25.579844	0.000836489
25.579848	0.00396127
25.579852	1.42E-05
25.579856	0.00264557
25.57986	0.00182326
25.579864	0.00248111
25.579868	0.00248111
25.579872	0.000507564
25.579876	0.00544143
25.57988	0.00116541
25.579884	0.00281004
25.579888	0.00182326
25.579892	0.00215219
25.579896	0.0016588
25.5799	-0.000314747
25.579904	0.00511251
25.579908	0.00132988
25.579912	0.00182326
25.579916	0.00215219
25.57992	0.00215219
25.579924	0.00215219
25.579928	0.00017864
25.579932	0.00527697
25.579936	0.00116541
25.57994	0.0016588
25.579944	0.00149434
25.579948	0.00182326
25.579952	0.00198772
25.579956	0.000507564
25.57996	0.00544143
25.579964	0.00116541
25.579968	0.00182326
25.579972	0.00132988
25.579976	0.00198772
25.57998	0.0016588
25.579984	0.000672026
25.579988	0.00527697
25.579992	0.00116541
25.579996	0.00363235
25.58	0.00248111
25.580004	0.00281004
25.580008	0.00198772
25.580012	0.000672026
25.580016	0.00445466
25.58002	0.000672026
25.580024	0.00379681
25.580028	0.00281004
25.580032	0.00313896
25.580036	0.00281004
25.58004	0.00461912
25.580044	0.00264557
25.580048	0.00182326
25.580052	0.00281004
25.580056	0.00198772
25.58006	0.00215219
25.580064	-0.000314747
25.580068	0.00494804
25.580072	0.00100095
25.580076	0.00198772
25.58008	0.00248111
25.580084	0.00264557
25.580088	0.00264557
25.580092	0.000507564
25.580096	0.00544143
25.5801	0.000672026
25.580104	0.0029745
25.580108	0.00198772
25.580112	0.00215219
25.580116	0.00198772
25.58012	0.000672026
25.580124	0.00527697
25.580128	0.00100095
25.580132	0.00363235
25.580136	0.00281004
25.58014	0.00313896
25.580144	0.00264557
25.580148	0.000836489
25.580152	0.0042902
25.580156	0.00017864
25.58016	0.0029745
25.580164	0.00248111
25.580168	0.00330342
25.580172	0.000507564
25.580176	0.00511251
25.58018	0.00132988
25.580184	0.00215219
25.580188	0.00281004
25.580192	0.00313896
25.580196	0.00346788
25.5802	0.000836489
25.580204	0.0042902
25.580208	0.00017864
25.580212	0.00264557
25.580216	0.00182326
25.58022	0.0029745
25.580224	0.000672026
25.580228	0.00577036
25.580232	0.000672026
25.580236	0.00215219
25.58024	0.00116541
25.580244	0.00182326
25.580248	0.00017864
25.580252	0.00527697
25.580256	0.00116541
25.58026	0.00198772
25.580264	0.00182326
25.580268	0.00248111
25.580272	0.000507564
25.580276	0.00544143
25.58028	0.00116541
25.580284	0.00182326
25.580288	0.0016588
25.580292	0.00182326
25.580296	0.000672026
25.5803	0.0042902
25.580304	0.000836489
25.580308	0.00396127
25.580312	0.00264557
25.580316	0.000836489
25.58032	0.00511251
25.580324	0.000836489
25.580328	0.00198772
25.580332	0.00132988
25.580336	0.000343102
25.58034	0.00511251
25.580344	0.00149434
25.580348	0.00281004
25.580352	0.00330342
25.580356	0.00313896
25.58036	0.000836489
25.580364	0.00478358
25.580368	0.00132988
25.580372	0.00412573
25.580376	0.00264557
25.58038	0.00330342
25.580384	0.00100095
25.580388	0.00379681
25.580392	-0.000150285
25.580396	0.00264557
25.5804	0.00149434
25.580404	0.00248111
25.580408	0.00396127
25.580412	0.00313896
25.580416	0.000343102
25.58042	0.00231665
25.580424	0.00149434
25.580428	0.00198772
25.580432	0.00379681
25.580436	0.00330342
25.58044	1.42E-05
25.580444	0.00231665
25.580448	0.00149434
25.580452	0.00215219
25.580456	0.00511251
25.58046	0.00313896
25.580464	0.00116541
25.580468	0.00248111
25.580472	0.00149434
25.580476	0.00215219
25.58048	0.000672026
25.580484	0.00478358
25.580488	0.000672026
25.580492	0.00363235
25.580496	0.00248111
25.5805	0.00313896
25.580504	0.00281004
25.580508	-0.199643
25.580512	-0.201617
25.580516	-0.203097
25.58052	-0.201781
25.580524	-0.203261
25.580528	-0.202603
25.580532	-0.202768
25.580536	-0.199807
25.58054	-0.201945
25.580544	-0.000643671
25.580548	0.00330342
25.580552	0.00198772
25.580556	0.00231665
25.58056	0.00198772
25.580564	0.00461912
25.580568	0.00182326
25.580572	0.0029745
25.580576	0.00363235
25.58058	0.0029745
25.580584	-0.201452
25.580588	-0.204248
25.580592	-0.19915
25.580596	-0.203426
25.5806	-0.202932
25.580604	-0.202932
25.580608	-0.203097
25.580612	-0.202768
25.580616	-0.203919
25.58062	0.00544143
25.580624	0.00116541
25.580628	0.0042902
25.580632	0.00281004
25.580636	0.00264557
25.58064	0.00248111
25.580644	0.00198772
25.580648	0.00412573
25.580652	0.00017864
25.580656	-0.11955
25.58066	-0.203261
25.580664	-0.202439
25.580668	-0.204906
25.580672	-0.199479
25.580676	-0.203261
25.58068	-0.202274
25.580684	-0.201945
25.580688	-0.201452
25.580692	-0.201781
25.580696	0.0029745
25.5807	0.00412573
25.580704	0.00264557
25.580708	0.00264557
25.580712	0.00346788
25.580716	0.00264557
25.58072	0.00264557
25.580724	0.00182326
25.580728	0.000672026
25.580732	0.00511251
25.580736	0.00100095
25.58074	0.00445466
25.580744	0.00330342
25.580748	0.00313896
25.580752	0.00231665
25.580756	0.0029745
25.58076	0.0042902
25.580764	0.00248111
25.580768	0.00264557
25.580772	0.00363235
25.580776	0.00231665
25.58078	0.00231665
25.580784	0.0016588
25.580788	0.000507564
25.580792	0.00511251
25.580796	0.00100095
25.5808	0.00445466
25.580804	0.0029745
25.580808	0.00313896
25.580812	0.00281004
25.580816	0.00017864
25.58082	0.00494804
25.580824	0.00132988
25.580828	0.00215219
25.580832	0.00231665
25.580836	0.00215219
25.58084	0.00231665
25.580844	0.00248111
25.580848	0.00478358
25.580852	0.00313896
25.580856	0.0016588
25.58086	0.00264557
25.580864	0.203783
25.580868	0.204276
25.580872	0.204112
25.580876	0.203289
25.58088	0.206908
25.580884	0.202632
25.580888	0.205592
25.580892	0.204441
25.580896	0.205263
25.5809	0.205099
25.580904	0.203125
25.580908	0.206579
25.580912	0.202467
25.580916	0.205099
25.58092	0.203454
25.580924	0.204441
25.580928	0.204441
25.580932	0.206085
25.580936	0.205756
25.58094	0.202796
25.580944	0.204441
25.580948	0.203618
25.580952	0.203947
25.580956	0.203947
25.58096	0.207237
25.580964	0.204112
25.580968	0.205428
25.580972	0.205921
25.580976	0.205263
25.58098	0.205428
25.580984	0.202632
25.580988	0.208059
25.580992	0.203125
25.580996	0.20477
25.581	0.204112
25.581004	0.204112
25.581008	0.204112
25.581012	0.202796
25.581016	0.207237
25.58102	0.203289
25.581024	0.206579
25.581028	0.205592
25.581032	0.205756
25.581036	0.205263
25.58104	0.202961
25.581044	0.206414
25.581048	0.202303
25.581052	0.205099
25.581056	0.204605
25.58106	0.204934
25.581064	0.204441
25.581068	0.206743
25.581072	0.205428
25.581076	0.203454
25.58108	0.205099
25.581084	0.204112
25.581088	0.204605
25.581092	0.204112
25.581096	0.206743
25.5811	0.204441
25.581104	0.205099
25.581108	0.20625
25.581112	0.205263
25.581116	0.205428
25.58112	0.202632
25.581124	0.20773
25.581128	0.203289
25.581132	0.203947
25.581136	0.204276
25.58114	0.204605
25.581144	0.204441
25.581148	0.203454
25.581152	0.206414
25.581156	0.202138
25.58116	0.204605
25.581164	0.203783
25.581168	0.205099
25.581172	0.202961
25.581176	0.207894
25.58118	0.203125
25.581184	0.205921
25.581188	0.205099
25.581192	0.205263
25.581196	0.202632
25.5812	0.207894
25.581204	0.203454
25.581208	0.204276
25.581212	0.204441
25.581216	0.204605
25.58122	0.204934
25.581224	0.207237
25.581228	0.204441
25.581232	0.205428
25.581236	0.206085
25.58124	0.205099
25.581244	0.205263
25.581248	0.206579
25.581252	0.204605
25.581256	0.205263
25.58126	0.206085
25.581264	0.20477
25.581268	0.205263
25.581272	0.202796
25.581276	0.207072
25.58128	0.202632
25.581284	0.205756
25.581288	0.204934
25.581292	0.205428
25.581296	0.205099
25.5813	0.205756
25.581304	0.205756
25.581308	0.202467
25.581312	0.204441
25.581316	0.203947
25.58132	0.204605
25.581324	0.204112
25.581328	0.202961
25.581332	0.207072
25.581336	0.202796
25.58134	0.206085
25.581344	0.205099
25.581348	0.205756
25.581352	0.205099
25.581356	0.202961
25.58136	0.207072
25.581364	0.202961
25.581368	0.206579
25.581372	0.205263
25.581376	0.205756
25.58138	0.205263
25.581384	0.203289
25.581388	0.20625
25.581392	0.202303
25.581396	0.205099
25.5814	0.204112
25.581404	0.20477
25.581408	0.204605
25.581412	0.206908
25.581416	0.20477
25.58142	0.204441
25.581424	0.205592
25.581428	0.20477
25.581432	0.204441
25.581436	0.202632
25.58144	0.207401
25.581444	0.202961
25.581448	0.206743
25.581452	0.205099
25.581456	0.205921
25.58146	0.202632
25.581464	0.207894
25.581468	0.203289
25.581472	0.204112
25.581476	0.203783
25.58148	0.204605
25.581484	0.204441
25.581488	0.203125
25.581492	0.20773
25.581496	0.203125
25.5815	0.204934
25.581504	0.204112
25.581508	0.204605
25.581512	0.204112
25.581516	0.204441
25.58152	0.20625
25.581524	0.205756
25.581528	0.202796
25.581532	0.204441
25.581536	0.203783
